Actor 	Partner	Dyad	Wert1	Wert2	Wert3
1	2	1	55	58	45
1	3	2	65	58	85
1	4	3	59	54	50
1	5	4	62	68	79
1	6	5	87	68	76
1	7	6	69	76	56
1	8	7	81	76	71
2	1	1	22	50	36
2	3	8	21	42	35
2	4	9	34	27	38
2	5	10	25	38	34
2	6	11	35	35	49
2	7	12	39	36	53
2	8	13	58	53	28
3	1	2	31	45	12
3	2	8	56	45	54
3	4	14	34	40	24
3	5	15	31	33	37
3	6	16	24	25	42
3	7	17	34	48	37
3	8	18	36	16	30
4	1	3	26	30	45
4	2	9	62	62	60
4	3	14	68	55	81
4	5	19	46	25	65
4	6	20	31	89	33
4	7	21	58	43	59
4	8	22	72	83	65
5	1	4	66	70	52
5	2	10	56	56	58
5	3	15	70	89	64
5	4	19	67	69	44
5	6	23	36	54	37
5	7	24	58	53	71
5	8	25	73	56	71
6	1	5	27	49	28
6	2	11	30	53	41
6	3	16	74	81	47
6	4	20	45	11	48
6	5	23	49	35	37
6	7	26	70	78	46
6	8	27	40	69	41
7	1	6	52	45	67
7	2	12	40	66	34
7	3	17	77	54	60
7	4	21	32	40	48
7	5	24	52	48	23
7	6	26	49	22	49
7	8	28	67	65	61
8	1	7	39	59	45
8	2	13	47	80	70
8	3	18	75	90	73
8	4	22	47	47	49
8	5	25	37	51	37
8	6	27	45	46	51
8	7	28	37	67	51
