"","person_code","perceiver.id","target.id","Knowing","Liking","Meta_Liking","Friend","Leader"
"1","AB04KE",4,12,2,4,4,0,0
"2","AB04KE",4,13,6,5,5,1,0
"3","AB04KE",4,15,2,5,4,0,0
"4","AB04KE",4,17,6,5,5,1,0
"5","AB04KE",4,18,5,5,5,0,0
"6","AB04KE",4,19,2,3,3,0,0
"7","AB04KE",4,44,6,5,5,1,0
"8","AB04KE",4,45,5,4,4,0,0
"9","AB04KE",4,46,5,5,5,0,0
"10","AB04KE",4,47,6,5,5,1,0
"11","AB04KE",4,48,2,4,4,0,0
"12","AB04KE",4,49,2,4,4,0,0
"13","AB04KE",4,50,5,5,5,0,1
"14","AB04KE",4,51,5,5,5,0,0
"15","AB04KE",4,52,5,5,5,0,1
"16","AB04KE",4,53,5,5,5,0,0
"17","AB04KE",4,54,2,4,4,0,0
"18","AB04KE",4,4,NA,NA,NA,NA,NA
"19","AB04KE",4,5,4,4,4,0,0
"20","AB04KE",4,6,2,4,4,0,1
"21","AB04KE",4,7,6,5,5,0,0
"22","AB04KE",4,9,4,4,4,0,1
"23","AB04KE",4,10,3,3,4,0,1
"24","AB04KE",4,66,4,4,5,0,0
"25","AB04KE",4,68,2,4,4,0,0
"26","AB04KE",4,69,5,5,5,1,0
"27","AB04KE",4,70,4,4,4,0,1
"28","AB04KE",4,71,3,4,4,0,0
"29","AB04KE",4,72,4,4,5,0,0
"30","AB04KE",4,21,2,4,4,0,0
"31","AB04KE",4,22,5,4,5,0,1
"32","AB04KE",4,23,6,5,5,1,0
"33","AB04KE",4,24,3,4,4,0,1
"34","AB04KE",4,25,4,4,4,0,0
"35","AB04KE",4,26,6,4,5,1,0
"36","AB04KE",4,27,3,4,4,0,0
"37","AB04KE",4,28,2,4,4,0,0
"38","AB04KE",4,29,3,3,4,0,1
"39","AB04KE",4,35,2,3,4,0,0
"40","AB04KE",4,36,2,5,5,0,0
"41","AB04KE",4,37,3,3,4,0,1
"42","AB04KE",4,39,2,4,4,0,0
"43","AB04KE",4,40,2,4,4,0,0
"44","AB04KE",4,41,3,4,4,0,0
"45","AB04KE",4,42,6,4,5,1,0
"46","AB04KE",4,43,6,6,6,1,0
"47","AB04KE",4,62,5,5,5,0,1
"48","AB04KE",4,63,2,4,4,0,0
"49","AB04KE",4,64,2,4,4,0,1
"50","AB04KE",4,65,6,4,5,0,0
"51","AB04KE",4,61,3,4,4,0,0
"52","AB04KE",4,57,6,5,5,1,0
"53","AF08LG",10,68,3,5,5,0,1
"54","AF08LG",10,69,2,4,4,0,0
"55","AF08LG",10,49,3,5,5,0,1
"56","AF08LG",10,66,2,4,4,0,1
"57","AF08LG",10,41,3,4,4,0,0
"58","AF08LG",10,42,2,3,3,0,0
"59","AF08LG",10,48,4,5,5,0,1
"60","AF08LG",10,44,3,4,3,0,0
"61","AF08LG",10,45,2,4,4,0,0
"62","AF08LG",10,46,2,4,4,0,0
"63","AF08LG",10,47,2,4,4,0,0
"64","AF08LG",10,65,3,4,4,0,1
"65","AF08LG",10,29,3,5,4,0,0
"66","AF08LG",10,35,3,4,4,0,0
"67","AF08LG",10,36,3,5,4,0,0
