"","perceiver.id","person_code","target.id","liking","dominant","affectionate","knowing"
"1",4,"AB04KE",48,2,3,2,0
"2",4,"AB04KE",45,4,4,4,0
"3",4,"AB04KE",46,4,3,3,0
"4",4,"AB04KE",47,5,5,3,0
"5",4,"AB04KE",52,2,3,3,0
"6",4,"AB04KE",53,4,4,4,0
"7",4,"AB04KE",54,3,2,4,0
"8",4,"AB04KE",61,3,4,4,0
"9",4,"AB04KE",62,2,4,3,0
"10",4,"AB04KE",63,2,3,4,0
"11",4,"AB04KE",64,5,5,4,0
"12",4,"AB04KE",65,4,4,4,0
"13",4,"AB04KE",66,5,4,4,0
"14",4,"AB04KE",57,4,4,4,0
"15",4,"AB04KE",49,4,4,4,0
"16",4,"AB04KE",50,4,5,4,0
"17",4,"AB04KE",51,3,4,3,0
"18",4,"AB04KE",17,4,5,3,0
"19",4,"AB04KE",18,4,4,3,0
"20",4,"AB04KE",19,2,5,2,0
"21",4,"AB04KE",21,4,3,4,0
"22",4,"AB04KE",22,3,2,4,0
"23",4,"AB04KE",23,4,3,4,0
"24",4,"AB04KE",24,4,2,3,0
"25",4,"AB04KE",25,3,3,2,0
"26",4,"AB04KE",26,4,3,3,3
"27",4,"AB04KE",27,3,5,3,0
"28",4,"AB04KE",28,4,2,4,0
"29",4,"AB04KE",29,3,3,3,0
"30",4,"AB04KE",35,1,4,2,0
"31",4,"AB04KE",36,3,3,3,0
"32",4,"AB04KE",37,5,4,4,0
"33",4,"AB04KE",39,4,3,4,0
"34",4,"AB04KE",40,4,3,4,0
"35",4,"AB04KE",41,3,2,4,0
"36",4,"AB04KE",42,4,3,3,0
"37",4,"AB04KE",43,4,3,4,0
"38",4,"AB04KE",44,5,4,5,0
"39",4,"AB04KE",6,4,2,4,0
"40",4,"AB04KE",7,4,4,3,0
"41",4,"AB04KE",9,2,3,2,0
"42",4,"AB04KE",10,2,4,3,0
"43",4,"AB04KE",12,3,3,3,0
"44",4,"AB04KE",13,5,1,3,0
"45",4,"AB04KE",15,5,3,4,0
"46",4,"AB04KE",5,3,4,2,0
"47",5,"BJ05HG",35,2,3,2,0
"48",5,"BJ05HG",28,2,2,2,0
"49",5,"BJ05HG",29,3,2,3,0
"50",5,"BJ05HG",41,2,3,3,0
"51",5,"BJ05HG",42,3,3,2,0
"52",5,"BJ05HG",43,2,4,3,0
"53",5,"BJ05HG",44,5,4,4,0
"54",5,"BJ05HG",45,3,3,3,0
"55",5,"BJ05HG",46,4,4,3,0
"56",5,"BJ05HG",47,5,4,4,0
"57",5,"BJ05HG",48,2,2,2,0
"58",5,"BJ05HG",49,4,3,3,0
"59",5,"BJ05HG",50,4,5,3,0
"60",5,"BJ05HG",51,3,2,2,0
"61",5,"BJ05HG",52,3,2,3,0
"62",5,"BJ05HG",53,4,4,4,0
"63",5,"BJ05HG",54,3,2,2,0
"64",5,"BJ05HG",57,2,5,2,0
"65",5,"BJ05HG",61,3,4,3,0
"66",5,"BJ05HG",62,3,5,3,0
"67",5,"BJ05HG",63,1,3,2,0
"68",5,"BJ05HG",64,3,2,3,0
"69",5,"BJ05HG",65,4,4,4,0
"70",5,"BJ05HG",66,4,5,3,0
"71",5,"BJ05HG",10,2,4,4,0
"72",5,"BJ05HG",12,4,2,5,0
"73",5,"BJ05HG",13,5,1,5,0
"74",5,"BJ05HG",15,4,3,3,0
"75",5,"BJ05HG",17,3,2,3,0
"76",5,"BJ05HG",18,3,3,3,0
"77",5,"BJ05HG",19,2,5,2,0
"78",5,"BJ05HG",21,3,0,3,0
"79",5,"BJ05HG",22,2,2,3,0
"80",5,"BJ05HG",23,2,4,2,0
"81",5,"BJ05HG",24,4,1,4,0
"82",5,"BJ05HG",25,2,2,2,0
"83",5,"BJ05HG",26,4,2,5,0
"84",5,"BJ05HG",27,2,5,4,0
"85",5,"BJ05HG",39,4,3,3,0
"86",5,"BJ05HG",40,2,3,3,0
"87",5,"BJ05HG",36,4,1,4,0
"88",5,"BJ05HG",37,3,2,3,0
"89",5,"BJ05HG",9,4,2,4,0
"90",5,"BJ05HG",4,5,4,4,0
"91",5,"BJ05HG",6,3,1,4,0
"92",5,"BJ05HG",7,2,1,2,0
"93",6,"OS11TY",10,3,5,3,0
"94",6,"OS11TY",12,4,2,4,0
"95",6,"OS11TY",47,5,3,4,2
"96",6,"OS11TY",9,5,5,5,2
"97",6,"OS11TY",46,4,3,3,1
"98",6,"OS11TY",51,3,3,2,2
"99",6,"OS11TY",48,3,1,3,1
"100",6,"OS11TY",49,4,3,4,1
"101",6,"OS11TY",50,4,4,4,2
"102",6,"OS11TY",4,4,4,4,0
"103",6,"OS11TY",5,3,2,2,0
"104",6,"OS11TY",7,5,4,4,0
"105",6,"OS11TY",45,4,2,4,0
"106",6,"OS11TY",64,4,3,3,0
"107",6,"OS11TY",65,4,4,2,2
"108",6,"OS11TY",66,2,2,3,0
"109",6,"OS11TY",13,5,2,4,0
"110",6,"OS11TY",15,3,1,4,0
"111",6,"OS11TY",17,2,4,3,0
"112",6,"OS11TY",52,4,4,3,2
"113",6,"OS11TY",53,3,3,3,0
"114",6,"OS11TY",54,3,1,2,1
"115",6,"OS11TY",57,4,4,2,1
"116",6,"OS11TY",61,4,4,4,0
"117",6,"OS11TY",62,5,3,4,0
"118",6,"OS11TY",63,5,2,3,0
"119",6,"OS11TY",26,3,1,2,0
"120",6,"OS11TY",27,3,4,2,0
"121",6,"OS11TY",28,5,4,5,3
"122",6,"OS11TY",29,3,2,3,1
"123",6,"OS11TY",35,4,3,1,0
"124",6,"OS11TY",36,3,3,2,0
"125",6,"OS11TY",37,5,4,5,0
"126",6,"OS11TY",39,4,3,5,1
"127",6,"OS11TY",40,4,4,4,2
"128",6,"OS11TY",41,3,1,2,0
"129",6,"OS11TY",42,3,1,2,0
"130",6,"OS11TY",43,5,3,3,0
"131",6,"OS11TY",44,4,3,3,0
"132",6,"OS11TY",25,3,1,2,0
"133",6,"OS11TY",21,1,1,2,0
"134",6,"OS11TY",22,2,1,2,1
"135",6,"OS11TY",18,5,3,4,1
"136",6,"OS11TY",19,2,3,2,0
"137",6,"OS11TY",23,4,2,2,1
"138",6,"OS11TY",24,2,3,2,0
"139",7,"AB11KL",43,2,3,3,0
"140",7,"AB11KL",45,4,2,3,0
"141",7,"AB11KL",42,2,2,3,0
"142",7,"AB11KL",44,3,3,3,0
"143",7,"AB11KL",64,3,3,3,0
"144",7,"AB11KL",65,2,2,3,0
"145",7,"AB11KL",66,2,3,3,0
"146",7,"AB11KL",63,2,2,2,0
"147",7,"AB11KL",39,4,3,4,0
"148",7,"AB11KL",40,3,4,2,0
"149",7,"AB11KL",41,4,3,3,0
"150",7,"AB11KL",22,4,2,3,0
"151",7,"AB11KL",23,1,3,2,0
"152",7,"AB11KL",24,3,3,3,0
"153",7,"AB11KL",25,4,2,3,0
"154",7,"AB11KL",26,4,3,3,0
"155",7,"AB11KL",27,3,4,3,0
"156",7,"AB11KL",28,1,3,3,0
"157",7,"AB11KL",29,4,3,3,0
"158",7,"AB11KL",35,2,2,3,0
"159",7,"AB11KL",36,3,2,3,0
"160",7,"AB11KL",37,2,3,3,0
"161",7,"AB11KL",54,2,3,3,0
"162",7,"AB11KL",57,4,2,3,0
"163",7,"AB11KL",61,2,3,3,1
"164",7,"AB11KL",62,5,3,3,0
