"Group" "Actor" "Partner" "Dyad" "calm" "sociable" "like" "careful" "relaxed" "talkative" "responsible" "sex" "age"
1 1 2 1 3 6 5 6 3 4 5 2 19
1 1 3 2 5 6 4 4 5 5 4 2 19
1 1 4 3 6 5 5 4 5 5 5 2 19
1 1 5 4 3 4 4 5 3 3 5 2 19
1 1 6 5 6 4 4 5 6 3 4 2 19
1 2 1 1 6 4 4 4 4 3 4 1 21
1 2 3 6 4 4 4 4 4 3 5 1 21
1 2 4 7 4 3 4 4 3 2 6 1 21
1 2 5 8 5 5 5 5 5 5 5 1 21
1 2 6 9 6 4 4 6 6 3 6 1 21
1 3 1 2 6 5 5 5 6 6 5 1 18
1 3 2 6 5 5 6 6 5 4 5 1 18
1 3 4 10 6 5 5 5 5 4 5 1 18
1 3 5 11 6 5 5 6 6 5 5 1 18
1 3 6 12 6 4 5 5 6 5 5 1 18
1 4 1 3 7 2 4 7 6 1 6 2 19
1 4 2 7 3 6 6 4 6 6 1 2 19
1 4 3 10 3 5 5 6 5 5 3 2 19
1 4 5 13 3 7 5 6 6 6 4 2 19
1 4 6 14 6 2 3 3 2 1 4 2 19
1 5 1 4 5 6 4 5 5 2 4 2 18
1 5 2 8 6 5 5 5 4 3 4 2 18
1 5 3 11 6 3 4 5 2 2 4 2 18
1 5 4 13 3 6 5 5 6 5 7 2 18
1 5 6 15 7 1 4 5 2 2 4 2 18
1 6 1 5 4 4 5 3 4 3 4 2 21
1 6 2 9 2 3 6 5 2 3 6 2 21
1 6 3 12 2 3 4 3 2 2 3 2 21
1 6 4 14 4 4 4 3 4 3 5 2 21
1 6 5 15 5 4 4 3 4 3 4 2 21
2 1 2 1 1 7 6 6 7 7 7 2 18
2 1 3 2 7 2 3 5 7 5 4 2 18
2 1 4 3 5 5 4 7 7 6 7 2 18
2 1 5 4 3 2 2 7 1 2 4 2 18
2 1 6 5 5 4 3 5 3 4 4 2 18
2 2 1 1 7 5 7 4 5 6 7 1 18
2 2 3 6 4 5 5 4 5 6 7 1 18
2 2 4 7 5 2 5 6 1 1 7 1 18
2 2 5 8 2 2 5 7 1 1 7 1 18
2 2 6 9 5 5 5 4 5 6 7 1 18
2 3 1 2 6 6 6 2 7 7 3 2 18
2 3 2 6 5 4 5 5 5 4 4 2 18
2 3 4 10 2 2 5 7 2 1 6 2 18
2 3 5 11 2 6 6 5 5 6 5 2 18
2 3 6 12 2 2 6 5 5 3 3 2 18
2 4 1 3 7 7 6 4 7 7 5 1 19
2 4 2 7 6 7 6 7 7 7 7 1 19
2 4 3 10 3 5 5 5 3 5 5 1 19
2 4 5 13 3 5 5 4 4 5 5 1 19
2 4 6 14 4 4 5 6 6 4 6 1 19
2 5 1 4 3 6 6 2 6 6 4 1 18
2 5 2 8 1 7 7 5 7 7 6 1 18
2 5 3 11 6 3 3 6 2 2 7 1 18
2 5 4 13 7 1 6 7 6 1 7 1 18
2 5 6 15 4 3 2 1 3 3 1 1 18
2 6 1 5 6 6 6 3 6 6 5 2 19
2 6 2 9 6 6 6 3 6 6 5 2 19
2 6 3 12 4 4 6 5 3 4 6 2 19
2 6 4 14 6 5 6 5 4 3 6 2 19
2 6 5 15 6 6 6 5 6 5 6 2 19
3 1 2 1 5 4 4 7 3 4 7 2 18
3 1 3 2 5 5 4 5 4 3 5 2 18
3 1 4 3 5 3 4 7 4 2 6 2 18
3 1 5 4 3 5 5 5 3 4 5 2 18
3 2 1 1 5 6 5 5 5 4 6 1 19
3 2 3 5 5 6 4 4 5 5 4 1 19
3 2 4 6 6 5 5 6 5 5 7 1 19
3 2 5 7 5 6 6 7 4 6 6 1 19
3 3 1 2 5 5 5 5 5 6 5 1 19
3 3 2 5 4 5 5 5 4 4 5 1 19
3 3 4 8 6 6 6 6 6 5 6 1 19
3 3 5 9 2 4 5 5 2 4 5 1 19
3 4 1 3 5 5 5 6 4 3 6 1 18
3 4 2 6 4 5 5 6 4 3 6 1 18
3 4 3 8 6 6 6 4 5 5 4 1 18
3 4 5 10 3 3 4 5 3 3 6 1 18
3 5 1 4 4 7 4 5 7 4 6 2 18
3 5 2 7 1 3 4 4 2 1 4 2 18
3 5 3 9 4 7 4 4 5 2 6 2 18
3 5 4 10 1 2 4 4 1 1 4 2 18
4 1 2 1 5 5 4 2 5 2 3 2 18
4 1 3 2 5 6 6 6 5 5 3 2 18
4 1 4 3 1 1 2 2 1 1 1 2 18
4 1 5 4 3 4 4 3 6 5 5 2 18
4 1 6 5 6 7 6 6 7 6 6 2 18
4 2 1 1 5 4 6 6 3 3 7 1 18
4 2 3 6 3 7 6 4 5 7 6 1 18
4 2 4 7 2 2 6 6 1 1 7 1 18
4 2 5 8 3 4 6 5 2 3 6 1 18
4 2 6 9 4 6 6 5 5 6 6 1 18
4 3 1 2 5 3 4 6 3 2 5 1 18
4 3 2 6 2 2 4 6 2 1 5 1 18
4 3 4 10 2 3 4 3 2 2 2 1 18
4 3 5 11 6 5 3 3 5 5 3 1 18
4 3 6 12 7 6 4 7 6 6 6 1 18
4 4 1 3 6 4 6 7 4 2 4 1 18
4 4 2 7 4 5 4 3 3 4 3 1 18
4 4 3 10 4 6 6 5 5 5 4 1 18
4 4 5 13 3 5 5 4 4 5 3 1 18
4 4 6 14 2 6 3 4 3 6 3 1 18
4 5 1 4 5 2 5 7 6 6 7 1 18
4 5 2 8 5 4 6 6 4 6 5 1 18
4 5 3 11 3 6 6 6 6 7 5 1 18
4 5 4 13 4 2 6 6 2 3 7 1 18
4 5 6 15 6 5 6 4 6 5 7 1 18
4 6 1 5 4 2 2 7 3 1 7 2 18
4 6 2 9 4 2 2 6 2 1 7 2 18
4 6 3 12 4 4 4 6 2 2 6 2 18
4 6 4 14 4 2 1 6 3 1 5 2 18
4 6 5 15 4 5 5 3 6 3 7 2 18
6 1 2 1 5 5 6 6 5 5 6 1 18
6 1 3 2 4 5 5 6 5 4 6 1 18
6 1 4 3 3 5 5 4 4 4 5 1 18
6 1 5 4 4 6 6 6 6 5 6 1 18
6 1 6 5 6 6 6 5 6 6 6 1 18
6 2 1 1 7 4 5 7 5 3 7 1 18
6 2 3 6 5 5 5 7 4 1 7 1 18
6 2 4 7 5 7 5 1 2 4 4 1 18
6 2 5 8 7 5 4 3 5 4 5 1 18
6 2 6 9 7 7 6 7 7 7 6 1 18
6 3 1 2 4 5 4 5 6 3 5 1 18
6 3 2 6 4 6 4 5 6 3 5 1 18
6 3 4 10 4 6 4 5 6 5 5 1 18
6 3 5 11 4 6 4 5 6 4 5 1 18
6 3 6 12 4 6 4 5 6 5 5 1 18
6 4 1 3 3 3 4 5 2 3 6 2 18
6 4 2 7 4 4 5 5 3 4 5 2 18
6 4 3 10 5 2 3 4 2 3 4 2 18
6 4 5 13 4 4 5 5 5 5 5 2 18
6 4 6 14 6 5 3 3 6 6 3 2 18
6 5 1 4 6 5 5 6 5 3 5 1 19
6 5 2 8 6 5 5 5 5 4 4 1 19
6 5 3 11 4 3 4 6 3 2 5 1 19
6 5 4 13 4 4 4 6 4 3 4 1 19
6 5 6 15 6 6 5 6 6 6 5 1 19
6 6 1 5 3 4 6 5 5 6 6 1 18
6 6 2 9 2 4 6 5 5 6 6 1 18
6 6 3 12 2 3 4 6 1 1 2 1 18
6 6 4 14 3 3 4 5 2 2 2 1 18
6 6 5 15 3 4 4 4 2 2 5 1 18
7 1 2 1 7 3 3 3 5 6 6 2 19
7 1 3 2 7 7 6 6 7 7 7 2 19
7 1 4 3 5 6 6 6 5 6 6 2 19
7 1 5 4 4 5 6 5 5 7 6 2 19
7 2 1 1 6 4 6 6 5 5 5 2 18
7 2 3 5 2 4 2 3 3 6 3 2 18
7 2 4 6 6 6 6 6 6 4 6 2 18
7 2 5 7 3 5 4 3 5 5 5 2 18
7 3 1 2 5 2 5 6 5 2 6 1 19
7 3 2 5 6 2 4 6 2 1 6 1 19
7 3 4 8 6 6 5 6 6 5 6 1 19
7 3 5 9 4 6 6 6 6 6 5 1 19
7 4 1 3 1 1 4 4 2 2 4 2 18
7 4 2 6 1 2 3 4 4 4 2 2 18
7 4 3 8 5 6 6 6 6 6 5 2 18
7 4 5 10 3 3 4 4 3 3 4 2 18
7 5 1 4 4 3 6 5 4 1 6 2 18
7 5 2 7 6 2 5 4 5 2 4 2 18
7 5 3 9 7 6 6 7 6 6 6 2 18
7 5 4 10 5 5 6 5 6 6 6 2 18
8 1 2 1 6 4 5 5 6 2 5 2 18
8 1 3 2 4 4 4 5 2 3 6 2 18
8 1 4 3 7 3 4 3 5 2 3 2 18
8 1 5 4 2 5 6 4 4 6 5 2 18
8 2 1 1 2 2 3 3 2 2 2 2 19
