Case	Actor	Partner	Group	Dyad	Wert
1	1	2	1	1	3
4	2	1	1	1	4
2	1	3	1	2	3
7	3	1	1	2	4
3	1	4	1	3	4
10	4	1	1	3	4
5	2	3	1	4	4
8	3	2	1	4	4
6	2	4	1	5	4
11	4	2	1	5	4
9	3	4	1	6	4
12	4	3	1	6	3
21	13	14	2	11	3
24	14	13	2	11	4
14	11	13	2	12	4
19	13	11	2	12	5
17	12	13	2	13	5
20	13	12	2	13	3
15	11	14	2	14	4
22	14	11	2	14	4
18	12	14	2	15	5
23	14	12	2	15	3
13	11	12	2	16	3
16	12	11	2	16	5
25	21	22	3	21	5
28	22	21	3	21	5
26	21	23	3	22	4
31	23	21	3	22	4
27	21	24	3	23	4
34	24	21	3	23	4
29	22	23	3	24	4
32	23	22	3	24	3
30	22	24	3	25	4
35	24	22	3	25	3
33	23	24	3	26	2
36	24	23	3	26	3
45	33	34	4	31	4
48	34	33	4	31	4
38	31	33	4	32	4
43	33	31	4	32	3
41	32	33	4	33	4
44	33	32	4	33	3
39	31	34	4	34	4
46	34	31	4	34	5
42	32	34	4	35	4
47	34	32	4	35	4
37	31	32	4	36	4
40	32	31	4	36	4
49	41	42	5	41	5
52	42	41	5	41	5
50	41	43	5	42	5
55	43	41	5	42	5
51	41	44	5	43	5
58	44	41	5	43	5
53	42	43	5	44	4
56	43	42	5	44	3
54	42	44	5	45	3
59	44	42	5	45	4
57	43	44	5	46	4
60	44	43	5	46	3
69	53	54	6	51	5
72	54	53	6	51	4
62	51	53	6	52	5
67	53	51	6	52	3
65	52	53	6	53	4
68	53	52	6	53	4
63	51	54	6	54	5
70	54	51	6	54	2
66	52	54	6	55	3
71	54	52	6	55	3
61	51	52	6	56	4
64	52	51	6	56	2
73	61	62	7	61	4
76	62	61	7	61	5
74	61	63	7	62	4
79	63	61	7	62	5
75	61	64	7	63	3
82	64	61	7	63	5
77	62	63	7	64	4
80	63	62	7	64	5
78	62	64	7	65	4
83	64	62	7	65	3
81	63	64	7	66	5
84	64	63	7	66	4
93	73	74	8	71	4
96	74	73	8	71	3
86	71	73	8	72	3
91	73	71	8	72	4
89	72	73	8	73	4
92	73	72	8	73	4
87	71	74	8	74	4
94	74	71	8	74	4
90	72	74	8	75	4
95	74	72	8	75	4
85	71	72	8	76	4
88	72	71	8	76	4
97	81	82	9	81	4
100	82	81	9	81	3
98	81	83	9	82	4
103	83	81	9	82	5
99	81	84	9	83	4
106	84	81	9	83	4
101	82	83	9	84	2
104	83	82	9	84	4
102	82	84	9	85	4
107	84	82	9	85	4
105	83	84	9	86	5
108	84	83	9	86	4
117	93	94	10	91	2
120	94	93	10	91	3
110	91	93	10	92	4
115	93	91	10	92	3
113	92	93	10	93	4
116	93	92	10	93	4
111	91	94	10	94	3
118	94	91	10	94	4
114	92	94	10	95	4
119	94	92	10	95	4
109	91	92	10	96	4
112	92	91	10	96	4
121	101	102	11	101	5
124	102	101	11	101	5
122	101	103	11	102	3
127	103	101	11	102	3
123	101	104	11	103	4
130	104	101	11	103	4
125	102	103	11	104	2
128	103	102	11	104	4
126	102	104	11	105	4
131	104	102	11	105	4
129	103	104	11	106	3
132	104	103	11	106	3
141	113	114	12	111	4
144	114	113	12	111	5
134	111	113	12	112	4
139	113	111	12	112	5
137	112	113	12	113	4
140	113	112	12	113	3
135	111	114	12	114	4
142	114	111	12	114	4
138	112	114	12	115	4
143	114	112	12	115	2
133	111	112	12	116	4
136	112	111	12	116	4
145	121	122	13	121	5
148	122	121	13	121	5
146	121	123	13	122	5
151	123	121	13	122	4
147	121	124	13	123	5
154	124	121	13	123	5
149	122	123	13	124	4
152	123	122	13	124	3
150	122	124	13	125	5
155	124	122	13	125	5
153	123	124	13	126	4
156	124	123	13	126	5
165	133	134	14	131	3
168	134	133	14	131	3
158	131	133	14	132	4
163	133	131	14	132	3
161	132	133	14	133	5
164	133	132	14	133	5
159	131	134	14	134	4
166	134	131	14	134	3
162	132	134	14	135	4
167	134	132	14	135	4
157	131	132	14	136	4
160	132	131	14	136	3
169	141	142	15	141	4
172	142	141	15	141	4
170	141	143	15	142	4
175	143	141	15	142	3
171	141	144	15	143	4
178	144	141	15	143	3
173	142	143	15	144	4
176	143	142	15	144	4
174	142	144	15	145	4
179	144	142	15	145	4
177	143	144	15	146	4
