"Group" "Actor" "Partner" "Dyad" "Wert"
1 1 2 1 3.82872589416621
1 1 3 2 2.79022405677329
1 1 4 3 2.86154366467064
1 1 5 4 3.97980502200695
1 1 6 5 4.98019515751892
1 1 7 6 3.50583748001317
1 1 8 7 3.07242818625992
1 1 9 8 3.1965162477501
1 1 10 9 2.47881604132252
1 1 11 10 2.62899394969148
1 1 12 11 4.43068646376065
1 2 3 12 3.60472109933547
1 2 4 13 2.58091613204045
1 2 5 14 3.22237162334007
1 2 6 15 3.30722157851014
1 2 7 16 3.10924525232032
1 2 8 17 3.11834383761974
1 2 9 18 4.30867606936929
1 2 10 19 4.05994680573532
1 2 11 20 3.76836663633431
1 2 12 21 4.8919007724915
1 3 4 22 2.80766579382172
1 3 5 23 4.45488100957212
1 3 6 24 3.25890437310423
1 3 7 25 2.90475452518981
1 3 8 26 4.19616639536201
1 3 9 27 2.55165103081764
1 3 10 28 2.57858267268184
1 3 11 29 3.21173609608197
1 3 12 30 3.87132186737299
1 4 5 31 1.30600693389206
1 4 6 32 2.73847723577248
1 4 7 33 1.18702520250066
1 4 8 34 1.77923411289561
1 4 9 35 2.29669530889593
1 4 10 36 0.913883186428987
1 4 11 37 1.54072566832867
1 4 12 38 1.40279764620883
1 5 6 39 2.6123817706195
1 5 7 40 2.61226274452923
1 5 8 41 2.75984059991327
1 5 9 42 4.12814102271072
1 5 10 43 2.018704890617
1 5 11 44 3.14467121909851
1 5 12 45 4.00383900344628
1 6 7 46 2.41991869901944
1 6 8 47 3.16711055154537
1 6 9 48 3.94833053248763
1 6 10 49 2.21062403699101
1 6 11 50 4.20704047832062
1 6 12 51 2.39015920143869
1 7 8 52 2.54570842364332
1 7 9 53 2.38568704903682
1 7 10 54 3.39578570853128
1 7 11 55 2.18972161417439
1 7 12 56 3.47704513355038
1 8 9 57 2.86420797847088
1 8 10 58 2.08663138752713
1 8 11 59 4.0138580740396
1 8 12 60 2.97955255382637
1 9 10 61 2.581904760236
1 9 11 62 3.94909737305149
1 9 12 63 2.71055125010762
1 10 11 64 2.79077504213173
1 10 12 65 1.9204498174388
1 11 12 66 2.71024643116286
2 13 14 67 2.59795490243572
2 13 15 68 6.14014857601431
2 13 16 69 3.8005045796663
2 13 17 70 4.48047028735224
2 13 18 71 4.10834013226845
2 13 19 72 3.34142958327514
2 13 20 73 3.56212189649807
2 13 21 74 2.90772519137645
2 13 22 75 3.94696488840468
2 13 23 76 3.44408877775331
2 13 24 77 3.55946329963282
2 14 15 78 4.33145726958753
2 14 16 79 3.12762622249221
2 14 17 80 4.03590317557187
2 14 18 81 1.20042752326033
2 14 19 82 3.61644627237883
2 14 20 83 3.65413590541786
2 14 21 84 2.17323793592258
2 14 22 85 4.0645167712735
2 14 23 86 2.80960396588703
2 14 24 87 3.03573337854274
2 15 16 88 2.30431744803788
2 15 17 89 3.26276726501529
2 15 18 90 0.887743833399116
2 15 19 91 3.27670669103357
2 15 20 92 2.66591029635179
2 15 21 93 2.32929047239952
2 15 22 94 2.77727645528545
2 15 23 95 1.72573676133428
2 15 24 96 1.71157399923673
2 16 17 97 3.41023411124151
2 16 18 98 2.26875886886722
2 16 19 99 2.12764087939344
2 16 20 100 4.37957662015868
2 16 21 101 3.04827383196053
2 16 22 102 2.02279023338613
2 16 23 103 1.68195850058424
2 16 24 104 2.34999068604819
2 17 18 105 3.31131776332876
2 17 19 106 3.5381252812828
2 17 20 107 5.07693740144577
2 17 21 108 2.88961476345232
2 17 22 109 3.69668094412808
2 17 23 110 3.0157484696261
2 17 24 111 3.87051510007168
2 18 19 112 3.72785641865763
2 18 20 113 3.89591690214797
2 18 21 114 3.72841369996346
2 18 22 115 3.61079549138058
2 18 23 116 2.99964051522239
2 18 24 117 2.20523046187895
2 19 20 118 4.64661671012285
2 19 21 119 3.29895811236158
2 19 22 120 3.23773431507067
2 19 23 121 4.75962083230898
2 19 24 122 3.00450313451982
2 20 21 123 3.33976804968028
2 20 22 124 4.06214655996798
2 20 23 125 4.05002083646216
2 20 24 126 3.57225008022751
2 21 22 127 2.59078816859398
2 21 23 128 2.29448897535755
2 21 24 129 1.85936541327082
2 22 23 130 3.50539364959981
2 22 24 131 2.48188049851146
2 23 24 132 3.64349028200954
3 25 26 133 2.92239070477782
3 25 27 134 2.79879683267126
3 25 28 135 2.65285102441257
3 25 29 136 3.35039225100845
3 25 30 137 1.937357390645
3 25 31 138 2.01231841494239
3 25 32 139 2.26374929584948
3 25 33 140 1.86401603529135
3 25 34 141 1.39143976571135
3 25 35 142 1.96252739961573
3 25 36 143 3.53619290445032
3 26 27 144 4.17078927635055
3 26 28 145 1.22739488577476
3 26 29 146 2.01848567135319
3 26 30 147 1.83125489437114
3 26 31 148 0.960740581914257
3 26 32 149 3.22406340957038
3 26 33 150 2.77171130438457
3 26 34 151 1.24101529923016
3 26 35 152 1.62636294943558
3 26 36 153 1.7955781373505
3 27 28 154 1.23742104994682
3 27 29 155 2.83882499330511
3 27 30 156 3.64319469962121
3 27 31 157 2.14719155147523
3 27 32 158 3.85584428123105
3 27 33 159 2.42263872957322
3 27 34 160 2.01698284371216
3 27 35 161 2.70880082661294
3 27 36 162 2.67902904360883
3 28 29 163 3.96810325398955
3 28 30 164 3.92193846063473
3 28 31 165 2.19415005253886
3 28 32 166 4.1137087047729
3 28 33 167 2.5038055913562
3 28 34 168 2.01718712593008
3 28 35 169 2.8653254078151
3 28 36 170 2.77930342608258
3 29 30 171 4.23256636159455
3 29 31 172 3.72460365250378
3 29 32 173 3.47475560044773
3 29 33 174 3.40487526101861
3 29 34 175 3.1839351300636
3 29 35 176 2.94816784746939
3 29 36 177 3.42702865934968
3 30 31 178 3.30124813557552
3 30 32 179 3.01922988924028
3 30 33 180 3.45596094540034
3 30 34 181 2.57743741500531
3 30 35 182 1.40011366271316
3 30 36 183 3.08691025338327
3 31 32 184 3.91005704383309
3 31 33 185 3.60531117258212
3 31 34 186 4.12830193724155
3 31 35 187 3.52660881113951
3 31 36 188 4.07840451136263
3 32 33 189 3.1248486679373
3 32 34 190 3.39878160681014
3 32 35 191 4.16636602959643
3 32 36 192 4.02314249762274
3 33 34 193 4.67253350070827
3 33 35 194 3.21993760555247
3 33 36 195 3.92316382087966
3 34 35 196 2.84750600615165
3 34 36 197 2.63194065711688
3 35 36 198 3.17141924721544
4 37 38 199 3.68584453774631
4 37 39 200 1.98892407785667
4 37 40 201 3.01313442730183
4 37 41 202 2.00163143536178
4 37 42 203 2.36003234966859
4 37 43 204 1.81341810008093
4 37 44 205 2.89369212477737
4 37 45 206 1.89898465505432
4 37 46 207 2.63882882307451
4 37 47 208 2.55226743787741
4 37 48 209 4.23419149179447
4 38 39 210 1.85584442740237
4 38 40 211 3.36292571476313
4 38 41 212 0.875852773679848
4 38 42 213 3.30211042735472
4 38 43 214 1.89833009329116
4 38 44 215 3.08325859428598
4 38 45 216 1.54965944322066
4 38 46 217 2.67107265872958
4 38 47 218 2.13772142593623
4 38 48 219 1.83466915534652
4 39 40 220 3.82710978798413
4 39 41 221 2.47521891184146
4 39 42 222 3.22270046038153
4 39 43 223 3.17546766534288
4 39 44 224 3.09015571849194
4 39 45 225 2.00234203669158
4 39 46 226 2.13787424018921
4 39 47 227 2.69071221235305
4 39 48 228 3.02536041429804
4 40 41 229 2.5815039359111
4 40 42 230 2.73827093011764
4 40 43 231 2.94697950626546
4 40 44 232 3.70088376639008
4 40 45 233 3.72340721286972
4 40 46 234 2.30862286662385
4 40 47 235 2.63685143862648
4 40 48 236 3.25990515158871
4 41 42 237 2.91940899436065
4 41 43 238 3.79131967768496
4 41 44 239 1.8099375711769
4 41 45 240 2.42766800879341
4 41 46 241 2.33161142793617
4 41 47 242 1.13611042816755
4 41 48 243 2.80647162858552
4 42 43 244 3.82529610912201
4 42 44 245 3.2161232390499
4 42 45 246 2.38462100740338
4 42 46 247 3.88627018888243
4 42 47 248 2.87012282890487
4 42 48 249 3.42727222136608
4 43 44 250 2.17264273047739
4 43 45 251 2.52636717110637
4 43 46 252 2.19962674053196
