"Group" "Actor" "Partner" "Dyad" "Wert"
1 1 2 1 3.82872589416621
1 1 3 2 2.79022405677329
1 1 4 3 2.86154366467064
1 1 5 4 3.97980502200695
1 1 6 5 4.98019515751892
1 1 7 6 3.50583748001317
1 1 8 7 3.07242818625992
1 1 9 8 3.1965162477501
1 1 10 9 2.47881604132252
1 1 11 10 2.62899394969148
1 1 12 11 4.43068646376065
1 2 3 12 3.60472109933547
1 2 4 13 2.58091613204045
1 2 5 14 3.22237162334007
1 2 6 15 3.30722157851014
1 2 7 16 3.10924525232032
1 2 8 17 3.11834383761974
1 2 9 18 4.30867606936929
1 2 10 19 4.05994680573532
1 2 11 20 3.76836663633431
1 2 12 21 4.8919007724915
1 3 4 22 2.80766579382172
1 3 5 23 4.45488100957212
1 3 6 24 3.25890437310423
1 3 7 25 2.90475452518981
1 3 8 26 4.19616639536201
1 3 9 27 2.55165103081764
1 3 10 28 2.57858267268184
1 3 11 29 3.21173609608197
1 3 12 30 3.87132186737299
1 4 5 31 1.30600693389206
1 4 6 32 2.73847723577248
1 4 7 33 1.18702520250066
1 4 8 34 1.77923411289561
1 4 9 35 2.29669530889593
1 4 10 36 0.913883186428987
1 4 11 37 1.54072566832867
1 4 12 38 1.40279764620883
1 5 6 39 2.6123817706195
1 5 7 40 2.61226274452923
1 5 8 41 2.75984059991327
1 5 9 42 4.12814102271072
1 5 10 43 2.018704890617
1 5 11 44 3.14467121909851
1 5 12 45 4.00383900344628
1 6 7 46 2.41991869901944
1 6 8 47 3.16711055154537
1 6 9 48 3.94833053248763
1 6 10 49 2.21062403699101
1 6 11 50 4.20704047832062
1 6 12 51 2.39015920143869
1 7 8 52 2.54570842364332
1 7 9 53 2.38568704903682
1 7 10 54 3.39578570853128
1 7 11 55 2.18972161417439
1 7 12 56 3.47704513355038
1 8 9 57 2.86420797847088
1 8 10 58 2.08663138752713
1 8 11 59 4.0138580740396
1 8 12 60 2.97955255382637
1 9 10 61 2.581904760236
1 9 11 62 3.94909737305149
1 9 12 63 2.71055125010762
1 10 11 64 2.79077504213173
1 10 12 65 1.9204498174388
1 11 12 66 2.71024643116286
1 2 1 1 3.08368446411431
1 3 1 2 2.91387087247817
1 4 1 3 0.745646850684743
1 5 1 4 3.16217033132116
1 6 1 5 3.1454595010638
1 7 1 6 3.71246837593855
1 8 1 7 1.81498735549256
1 9 1 8 2.61359424923825
1 10 1 9 2.80120056239994
1 11 1 10 2.04855344237866
1 12 1 11 3.39416026309782
1 3 2 12 2.48226768458266
1 4 2 13 0.0626291993667842
1 5 2 14 1.69503345310351
1 6 2 15 2.06509751007501
1 7 2 16 2.713558803457
1 8 2 17 1.15842451749934
1 9 2 18 2.69535862746227
1 10 2 19 2.02254028974279
1 11 2 20 1.67501023451774
1 12 2 21 2.36972889594251
1 4 3 22 2.68777855330041
1 5 3 23 3.64191959614955
1 6 3 24 3.6621394334046
1 7 3 25 2.42889748343384
1 8 3 26 2.22712347153933
1 9 3 27 2.83958379330922
1 10 3 28 2.11394260395533
1 11 3 29 2.89930316894893
1 12 3 30 3.60342389033223
1 5 4 31 2.82402014783274
1 6 4 32 3.36723371772192
1 7 4 33 2.92240188401735
1 8 4 34 1.7942589173683
1 9 4 35 2.76296440293425
1 10 4 36 2.15458440146446
1 11 4 37 2.56716976806895
1 12 4 38 2.51281503387232
1 6 5 39 3.55642351447914
1 7 5 40 3.39919930458126
1 8 5 41 3.4532144438223
1 9 5 42 3.99511344443714
1 10 5 43 2.8036115625514
1 11 5 44 3.44410180043764
1 12 5 45 2.56829278624166
1 7 6 46 2.56634479390606
1 8 6 47 1.67237058376142
1 9 6 48 2.72246570318055
1 10 6 49 3.15336303660187
1 11 6 50 2.56837164424029
1 12 6 51 3.46137332901455
1 8 7 52 2.4427367106531
1 9 7 53 2.1856161580405
1 10 7 54 3.31591162294453
1 11 7 55 1.48846891671326
1 12 7 56 3.01789381378262
1 9 8 57 2.37255419975108
1 10 8 58 2.70592911482773
1 11 8 59 3.14641843573081
1 12 8 60 3.63676020875424
1 10 9 61 2.73382557499528
1 11 9 62 3.09301406068261
1 12 9 63 2.99584891372694
1 11 10 64 1.49110396983187
1 12 10 65 1.57592335005993
1 12 11 66 2.88934193314694
